Symbol
SPY
AMZN
GOOGL
TSLA
AAPL
MSFT
AMD
NVDA
TWLO
SHOP
ADBE
ZM
SNOW
LMND
MDB
TEAM
CRWD
TWTR
CRM
SNAP
WORK
SPOT
UBER
SQ
WTRH
LILA
NFLX
DIS
U
NTDOY
TTWO
EA
SNE
ATVI
BLK
BRK-B
JPM
GS
BX
V
MA
BYND
GRUB
SBUX
CMG
MCD
DPZ
TXN
BA
LEN
SPCE
PTON
LULU
DVAX
DXCM
VEEV
DHR
NEOS
ENPH
SEDG
RUN
LYFT
